City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-03-26 16:45:53,-54.8,-68.3,55.02,81,100,9.22
1,Rikitea,PF,2022-03-26 16:45:23,-23.1203,-134.9692,78.98,74,4,13.47
2,Port Alfred,ZA,2022-03-26 16:45:54,-33.5906,26.891,66.18,83,100,4.0
3,Ashcroft,CA,2022-03-26 16:45:54,50.7165,-121.2859,43.48,83,99,5.46
4,Axim,GH,2022-03-26 16:45:54,4.8699,-2.2405,84.27,71,71,10.25
5,Sikeston,US,2022-03-26 16:45:55,36.8767,-89.5879,53.53,32,0,10.36
6,Hermanus,ZA,2022-03-26 16:45:55,-34.4187,19.2345,67.8,69,20,18.63
7,Meulaboh,ID,2022-03-26 16:45:55,4.1363,96.1285,79.23,79,68,3.85
8,Dunedin,NZ,2022-03-26 16:45:55,-45.8742,170.5036,54.88,90,96,1.77
9,Arraial Do Cabo,BR,2022-03-26 16:45:56,-22.9661,-42.0278,93.16,62,0,12.66
10,Cap Malheureux,MU,2022-03-26 16:45:56,-19.9842,57.6142,81.46,80,1,3.0
11,Gari,RU,2022-03-26 16:45:56,59.4307,62.3497,20.61,80,66,13.67
12,Coquimbo,CL,2022-03-26 16:45:57,-29.9533,-71.3436,62.33,77,100,8.05
13,Bredasdorp,ZA,2022-03-26 16:45:57,-34.5322,20.0403,64.99,70,44,14.07
14,Kirksville,US,2022-03-26 16:45:15,40.1948,-92.5833,38.59,43,0,21.85
15,Constitucion,CL,2022-03-26 16:45:57,-35.3333,-72.4167,61.97,68,73,7.18
16,Hobyo,SO,2022-03-26 16:45:57,5.3505,48.5268,80.98,67,2,16.35
17,Saint-Philippe,RE,2022-03-26 16:45:58,-21.3585,55.7679,80.19,87,46,7.14
18,Tura,IN,2022-03-26 16:45:58,25.5198,90.2201,70.83,63,2,8.43
19,Bethel,US,2022-03-26 16:45:58,41.3712,-73.414,52.16,63,89,4.0
20,Clyde River,CA,2022-03-26 16:45:58,70.4692,-68.5914,-1.97,78,100,4.61
21,Puerto Ayora,EC,2022-03-26 16:45:59,-0.7393,-90.3518,84.16,74,100,9.51
22,Boundiali,CI,2022-03-26 16:45:59,9.5217,-6.4869,97.14,27,87,6.08
23,Vaini,TO,2022-03-26 16:45:59,-21.2,-175.2,73.56,88,20,5.75
24,Ahipara,NZ,2022-03-26 16:46:00,-35.1667,173.1667,61.0,83,3,7.11
25,Bluff,NZ,2022-03-26 16:46:00,-46.6,168.3333,54.63,82,22,3.2
26,Tasiilaq,GL,2022-03-26 16:46:00,65.6145,-37.6368,25.27,77,28,3.76
27,Atuona,PF,2022-03-26 16:46:00,-9.8,-139.0333,78.66,80,89,15.19
28,Kalmunai,LK,2022-03-26 16:46:01,7.4167,81.8167,79.56,82,21,6.6
29,Pangnirtung,CA,2022-03-26 16:46:01,66.1451,-65.7125,24.8,63,100,14.97
30,Springbok,ZA,2022-03-26 16:46:01,-29.6643,17.8865,69.51,33,3,6.46
31,Ponta Do Sol,PT,2022-03-26 16:46:02,32.6667,-17.1,68.05,79,100,14.16
32,Avarua,CK,2022-03-26 16:46:02,-21.2078,-159.775,73.45,100,20,1.14
33,Melo,UY,2022-03-26 16:46:03,-32.3667,-54.1833,67.44,76,88,16.8
34,Pisco,PE,2022-03-26 16:46:03,-13.7,-76.2167,76.01,60,0,6.91
35,Chokurdakh,RU,2022-03-26 16:46:04,70.6333,147.9167,-0.09,96,100,9.98
36,Upernavik,GL,2022-03-26 16:46:04,72.7868,-56.1549,9.86,91,100,3.62
37,Rincon,US,2022-03-26 16:46:04,32.296,-81.2354,68.95,39,0,19.57
38,Ahuimanu,US,2022-03-26 16:46:05,21.4447,-157.8378,72.36,75,40,5.75
39,Laizhou,CN,2022-03-26 16:46:05,37.1717,119.9214,50.94,39,79,22.82
